Vegetables,Calories,Carbohydrates,Protiens,Fats,Fibre
Almonds,6225,65,233,558,555
Brazil Nuts,6874,29,155,683,49
Cashew Nuts,5845,188,157,489,34
Chestnuts,1700,366,20,27,41
Hazelnuts,6550,58,154,635,65
Mixed Nuts,607,79,229,541,6
Peanuts,6220,78,285,530,62
Sesame Seeds,6105,37,223,564,78
Sunflower Seeds,5853,150,234,487,57
Walnuts,669,634,174,65,47
